archive_date,market_open,market_high,market_low,market_close,market_volume,market_ticker,macro_open,macro_high,macro_low,macro_close,indicators_rsi,indicators_sma,indicators_ema
2026-01-09,34.21,34.38,34.125,34.29,7758071.0,BP,0.8575,0.8607,0.8573,0.8592,61.2237,119.8566,120.1576
2026-01-09,123.23,124.86,123.095,124.61,16137674.0,XOM,0.8575,0.8607,0.8573,0.8592,61.2237,119.8566,120.1576
2026-01-12,70.96,72.0,70.4699,71.65,5703405.0,USO,0.859,0.8604,0.8548,0.857,59.6794,120.3773,120.5611
2026-01-12,124.46,124.5,122.56,124.03,15314895.0,XOM,0.859,0.8604,0.8548,0.857,59.6794,120.3773,120.5611
2026-01-12,71.16,71.84,71.04,71.66,4390665.0,SHEL,0.859,0.8604,0.8548,0.857,59.6794,120.3773,120.5611
2026-01-12,162.7,163.56,160.71,162.34,9796786.0,CVX,0.859,0.8604,0.8548,0.857,59.6794,120.3773,120.5611
2026-01-12,34.32,34.485,34.055,34.41,7164250.0,BP,0.859,0.8604,0.8548,0.857,59.6794,120.3773,120.5611
2026-01-12,46.75,46.805,46.1001,46.34,28264436.0,XLE,0.859,0.8604,0.8548,0.857,59.6794,120.3773,120.5611
2026-01-13,46.73,47.39,46.68,47.0,50469235.0,XLE,0.8569,0.8595,0.8562,0.8588,63.9208,120.9725,121.2431
2026-01-13,163.47,166.13,163.3,163.87,12068630.0,CVX,0.8569,0.8595,0.8562,0.8588,63.9208,120.9725,121.2431
2026-01-13,125.0,127.14,124.81,126.54,21619727.0,XOM,0.8569,0.8595,0.8562,0.8588,63.9208,120.9725,121.2431
2026-01-13,34.65,35.525,34.58,35.36,9971440.0,BP,0.8569,0.8595,0.8562,0.8588,63.9208,120.9725,121.2431
2026-01-13,72.78,73.94,72.745,73.48,10694220.0,USO,0.8569,0.8595,0.8562,0.8588,63.9208,120.9725,121.2431
2026-01-13,72.36,73.6302,72.31,73.18,6483292.0,SHEL,0.8569,0.8595,0.8562,0.8588,63.9208,120.9725,121.2431
2026-01-14,74.26,75.16,71.41,72.61,17618094.0,USO,0.8586,0.8594,0.8575,0.8587,69.0358,121.7373,122.3189
2026-01-14,127.35,131.72,127.13,130.2,27593938.0,XOM,0.8586,0.8594,0.8575,0.8587,69.0358,121.7373,122.3189
2026-01-14,34.97,36.29,34.94,35.82,15467269.0,BP,0.8586,0.8594,0.8575,0.8587,69.0358,121.7373,122.3189
2026-01-14,164.1,169.37,164.1,167.24,16414917.0,CVX,0.8586,0.8594,0.8575,0.8587,69.0358,121.7373,122.3189
2026-01-14,73.42,74.89,73.33,74.35,8057858.0,SHEL,0.8586,0.8594,0.8575,0.8587,69.0358,121.7373,122.3189
2026-01-14,47.25,48.65,47.18,48.06,80750152.0,XLE,0.8586,0.8594,0.8575,0.8587,69.0358,121.7373,122.3189
2026-01-15,34.85,35.315,34.735,35.15,10717050.0,BP,0.8589,0.8625,0.8584,0.8613,66.0861,122.4403,123.1096
2026-01-15,71.6,71.71,70.995,71.13,4748428.0,USO,0.8589,0.8625,0.8584,0.8613,66.0861,122.4403,123.1096
2026-01-15,165.77,167.33,165.1,166.16,8097405.0,CVX,0.8589,0.8625,0.8584,0.8613,66.0861,122.4403,123.1096
2026-01-15,47.63,48.07,47.27,47.61,49328793.0,XLE,0.8589,0.8625,0.8584,0.8613,66.0861,122.4403,123.1096
2026-01-15,73.36,73.845,73.055,73.42,4679474.0,SHEL,0.8589,0.8625,0.8584,0.8613,66.0861,122.4403,123.1096
2026-01-15,129.13,130.195,128.3,129.13,17400039.0,XOM,0.8589,0.8625,0.8584,0.8613,66.0861,122.4403,123.1096
2026-01-16,166.59,167.29,165.81,166.26,9745753.0,CVX,0.8614,0.8632,0.86,0.862,67.1594,123.205,123.8955
2026-01-16,47.56,47.805,47.485,47.69,30796285.0,XLE,0.8614,0.8632,0.86,0.862,67.1594,123.205,123.8955
2026-01-16,74.255,74.5354,73.715,74.25,4157242.0,SHEL,0.8614,0.8632,0.86,0.862,67.1594,123.205,123.8955
2026-01-16,72.3,72.52,71.57,71.65,4492057.0,USO,0.8614,0.8632,0.86,0.862,67.1594,123.205,123.8955
2026-01-16,35.41,35.62,35.29,35.38,5280236.0,BP,0.8614,0.8632,0.86,0.862,67.1594,123.205,123.8955
2026-01-16,128.91,130.16,128.87,129.89,16592354.0,XOM,0.8614,0.8632,0.86,0.862,67.1594,123.205,123.8955
2026-01-20,35.28,35.495,35.025,35.15,6203396.0,BP,0.8587,0.8596,0.8496,0.8529,67.9779,123.9095,124.6521
2026-01-20,166.705,167.65,165.15,165.3,10930266.0,CVX,0.8587,0.8596,0.8496,0.8529,67.9779,123.9095,124.6521
2026-01-20,48.09,48.31,47.5,47.6,49477357.0,XLE,0.8587,0.8596,0.8496,0.8529,67.9779,123.9095,124.6521
2026-01-20,73.58,73.835,73.015,73.11,4662351.0,SHEL,0.8587,0.8596,0.8496,0.8529,67.9779,123.9095,124.6521
2026-01-20,72.8,73.125,71.71,71.86,7543244.0,USO,0.8587,0.8596,0.8496,0.8529,67.9779,123.9095,124.6521
2026-01-20,131.51,131.94,130.07,130.46,16173207.0,XOM,0.8587,0.8596,0.8496,0.8529,67.9779,123.9095,124.6521
2026-01-21,48.29,49.05,48.29,48.75,58996037.0,XLE,0.853,0.8564,0.8515,0.8558,72.1145,124.8048,125.7249
2026-01-21,35.63,36.1,35.585,35.92,9110489.0,BP,0.853,0.8564,0.8515,0.8558,72.1145,124.8048,125.7249
2026-01-21,72.84,73.46,72.6,73.34,4291322.0,USO,0.853,0.8564,0.8515,0.8558,72.1145,124.8048,125.7249
2026-01-21,73.375,74.34,73.3,73.81,5552592.0,SHEL,0.853,0.8564,0.8515,0.8558,72.1145,124.8048,125.7249
2026-01-21,167.0,168.475,166.06,166.73,10918539.0,CVX,0.853,0.8564,0.8515,0.8558,72.1145,124.8048,125.7249
2026-01-21,131.91,133.725,131.91,133.61,18879887.0,XOM,0.853,0.8564,0.8515,0.8558,72.1145,124.8048,125.7249
2026-01-22,133.05,134.18,131.85,133.64,16600126.0,XOM,0.8558,0.8568,0.8505,0.8506,72.1514,125.7483,126.6587
2026-01-22,35.39,35.51,35.16,35.43,5331239.0,BP,0.8558,0.8568,0.8505,0.8506,72.1514,125.7483,126.6587
2026-01-22,73.01,73.3,72.26,72.42,5011657.0,SHEL,0.8558,0.8568,0.8505,0.8506,72.1514,125.7483,126.6587
2026-01-22,72.43,72.5,71.27,71.82,4973418.0,USO,0.8558,0.8568,0.8505,0.8506,72.1514,125.7483,126.6587
2026-01-22,48.62,49.0,48.42,48.91,50869509.0,XLE,0.8558,0.8568,0.8505,0.8506,72.1514,125.7483,126.6587
2026-01-22,166.26,167.56,165.73,166.66,8957383.0,CVX,0.8558,0.8568,0.8505,0.8506,72.1514,125.7483,126.6587
2026-01-23,135.085,135.98,134.48,134.97,17758214.0,XOM,0.8507,0.8526,0.845,0.8453,73.8061,126.6223,127.6441
2026-01-23,36.44,36.705,36.115,36.53,7875513.0,BP,0.8507,0.8526,0.845,0.8453,73.8061,126.6223,127.6441
2026-01-23,167.95,168.44,166.441,166.72,8368686.0,CVX,0.8507,0.8526,0.845,0.8453,73.8061,126.6223,127.6441
2026-01-23,73.76,74.05,73.38,73.95,5427638.0,USO,0.8507,0.8526,0.845,0.8453,73.8061,126.6223,127.6441
2026-01-23,73.89,73.99,73.1875,73.75,6051606.0,SHEL,0.8507,0.8526,0.845,0.8453,73.8061,126.6223,127.6441
2026-01-23,49.52,49.89,49.09,49.19,51431167.0,XLE,0.8507,0.8526,0.845,0.8453,73.8061,126.6223,127.6441
