,rsi,sma,ema
2002-03-22,66.4414,19.9018,19.7694
2002-03-25,57.6726,19.9132,19.7558
2002-03-26,64.8451,19.9306,19.7985
2002-03-27,66.2964,19.9654,19.8484
2002-03-28,64.6539,19.9955,19.8843
2002-04-01,64.6539,20.0067,19.9154
2002-04-02,68.767,20.0191,19.976
2002-04-03,59.4244,20.0378,19.9863
2002-04-04,53.3193,20.0349,19.9622
2002-04-05,48.1854,20.0027,19.9094
2002-04-08,53.8045,19.9863,19.9011
2002-04-09,48.9329,19.9509,19.862
2002-04-10,52.988,19.9395,19.8563
2002-04-11,46.2775,19.9024,19.8036
2002-04-12,38.8125,19.8313,19.6906
2002-04-15,41.5803,19.7903,19.6111
2002-04-16,47.3895,19.7424,19.5837
2002-04-17,46.9459,19.6857,19.5564
2002-04-18,49.0022,19.6408,19.5473
2002-04-19,49.5289,19.5978,19.5432
2002-04-22,44.0573,19.5149,19.4986
2002-04-23,40.4646,19.4382,19.4293
2002-04-24,34.1641,19.3447,19.3051
2002-04-25,36.5943,19.2762,19.212
2002-04-26,33.59,19.17,19.0984
2002-04-29,32.0173,19.071,18.9815
2002-04-30,36.9943,18.9723,18.909
2002-05-01,42.0492,18.9162,18.878
2002-05-02,43.0893,18.8999,18.8578
2002-05-03,41.5558,18.8667,18.8275
2002-05-06,33.39,18.7674,18.7192
2002-05-07,32.6173,18.6651,18.6162
2002-05-08,41.4667,18.5848,18.5826
2002-05-09,38.9257,18.4887,18.5277
2002-05-10,36.6114,18.4014,18.4556
2002-05-13,45.7325,18.3652,18.4577
2002-05-14,49.9434,18.3821,18.4946
2002-05-15,44.294,18.3625,18.4731
2002-05-16,48.3444,18.3791,18.4889
2002-05-17,47.8758,18.4032,18.4982
2002-05-20,43.8838,18.3918,18.4688
2002-05-21,45.3324,18.3692,18.4544
2002-05-22,50.3891,18.3648,18.4825
2002-05-23,53.6753,18.3828,18.5358
2002-05-24,48.7209,18.4227,18.5408
2002-05-28,46.056,18.4546,18.5211
2002-05-29,49.5604,18.4718,18.5323
2002-05-30,43.3037,18.4715,18.4836
2002-05-31,47.649,18.5034,18.477
2002-06-03,42.5073,18.4728,18.419
2002-06-04,43.6627,18.4283,18.378
2002-06-05,46.223,18.4233,18.3628
2002-06-06,43.5734,18.3864,18.3243
2002-06-07,45.7777,18.3607,18.3076
2002-06-10,43.7986,18.3455,18.2753
2002-06-11,43.1066,18.3211,18.2411
2002-06-12,48.929,18.297,18.2528
2002-06-13,46.3375,18.2462,18.2419
